  r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.72   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
17.73   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
17.74   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.75   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.75   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.76   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.77   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.78   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.78   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.79   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
17.80   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.81   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.82   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.82   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.83   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.06   k: 7.00
17.84   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.06   k: 7.00
17.85   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.06   k: 7.00
17.85   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.06   k: 7.00
17.86   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.05   k: 7.00
17.87   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.05   k: 7.00
17.88   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.05   k: 7.00
17.89   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.05   k: 7.00
17.89   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.05   k: 7.00
17.90   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.05   k: 7.00
17.91   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.04   k: 7.00
17.92   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.05   k: 7.00
17.93   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.04   k: 7.00
17.93   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.03   Flow_SDP: -0.03   k: 7.00
17.94   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.04   k: 7.00
17.95   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.04   k: 7.00
17.96   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.05   k: 7.00
17.96   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.05   k: 7.00
17.97   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.04   k: 7.00
